Classifier,Accuracy,Precision,Recall,F1-Score,AUROC
kNN,0.9299754299754299,0.932527548574971,0.9299754299754299,0.930068731676162,0.9692774322578656
Decision Tree,0.9066339066339066,0.907204728108435,0.9066339066339066,0.9067099818113479,0.9264717905673422
Support Vector Machine (SVM),0.9324324324324325,0.936454118648402,0.9324324324324325,0.9325157412643524,0.97617113599523
Random Forest,0.9336609336609336,0.936102269499115,0.9336609336609336,0.9336948013109001,0.9833125230950807
Naive Bayes,0.918918918918919,0.9194660006268536,0.918918918918919,0.9189924039358128,0.9721996527844304
